Election,Parliament Code,Federal Constituency,Alliance,Majority,Percentage of Vote,Total Voters in Constituency,Margin-of-Votes,Classification
ge14,p159,Pasir Gudang,PH,24726,58.68,105009,23.55,Very Safe
ge14,p160,Johor Bahru,PH,19782,62.31,80322,24.63,Very Safe
ge14,p161,Pulai,PH,28924,63.81,86893,33.29,Very Safe
ge14,p162,Iskandar Puteri,PH,44864,69.24,116588,38.48,Very Safe
ge14,p163,Kulai,PH,32748,65.42,84543,38.74,Very Safe
ge14,p164,Pontian,BN,833,46.21,45726,1.82,Marginal
ge14,p165,Tanjung Piai,BN,15086,66.31,38403,39.28,Very Safe
ge14,p166,Labuan,BN,1450,47.59,21358,6.79,Fairly Safe
ge14,p167,Kudat,BN,1359,49.9,37079,3.67,Marginal
ge14,p168,Kota Marudu,BN,1774,38.44,33906,5.23,Marginal
ge14,p169,Kota Belud,WARISAN,4262,50.82,46098,9.25,Fairly Safe
ge14,p170,Tuaran,BN,7624,53.19,42286,18.03,Safe
ge14,p171,Sepanggar,WARISAN,12984,59.47,47785,27.17,Very Safe
ge14,p172,Kota Kinabalu,DAP,24086,74.76,42310,56.93,Very Safe
ge14,p173,Putatan,PH,2339,46.92,30062,7.78,Fairly Safe
ge14,p174,Penampang,WARISAN,23473,75.32,43108,54.45,Very Safe
ge14,p175,Papar,WARISAN,325,48.54,35836,0.91,Marginal
ge14,p176,Kimanis,BN,2029,54.34,23383,8.68,Fairly Safe
ge14,p177,Beaufort,BN,3331,41.72,27212,12.24,Safe
ge14,p178,Sipitang,BN,852,48.6,24771,3.44,Marginal
ge14,p179,Ranau,PH,1076,45.17,32942,3.27,Marginal
ge14,p180,Keningau,STAR,45,33.46,39702,0.11,Marginal
ge14,p181,Tenom,DAP,1133,51.1,22238,5.09,Marginal
ge14,p182,Pensiangan,BN,2314,48.48,24303,9.52,Fairly Safe
ge14,p183,Beluran,BN,7115,64.46,20179,35.26,Very Safe
ge14,p184,Libaran,BN,678,49.25,36143,1.88,Marginal
ge14,p185,Batu Sapi,WARISAN,4619,55.78,23261,19.86,Very Safe
ge14,p186,Sandakan,DAP,11521,74.58,21469,53.66,Very Safe
ge14,p187,Kinabatangan,BN,9478,67.22,21518,44.05,Very Safe
ge14,p189,Semporna,WARISAN,20674,80.2,33426,61.85,Very Safe
ge14,p190,Tawau,PH,4727,50.05,42753,11.06,Safe
ge14,p191,Kalabakan,WARISAN,3187,50.09,36909,8.63,Fairly Safe
